Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
294,Imran Louza,ma MAR,MF,Watford,22,1999,20,17,"1,416",15.7,0,0,0,0,0,0,6,0,1.2,1.2,1.1,2.3,17,67,24,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15,Matches
295,Matthew Lowton,eng ENG,DF,Burnley,32,1989,25,20,"1,772",19.7,1,2,3,1,0,0,3,1,0.7,0.7,2.1,2.8,21,74,39,0.05,0.1,0.15,0.05,0.15,0.03,0.11,0.14,0.03,0.14,Matches
296,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,34,31,"2,715",30.2,2,3,5,2,0,0,7,0,2,2,2.5,4.4,28,105,44,0.07,0.1,0.17,0.07,0.17,0.07,0.08,0.15,0.07,0.15,Matches
297,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,26,16,"1,589",17.7,8,0,8,7,1,1,1,0,6.6,5.8,3,8.8,29,19,125,0.45,0,0.45,0.4,0.4,0.38,0.17,0.54,0.33,0.5,Matches
298,Lyanco,br BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,3,18,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
299,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,22,1998,33,22,"2,123",23.6,5,2,7,3,2,3,4,0,6.3,4,1.9,5.9,30,137,66,0.21,0.08,0.3,0.13,0.21,0.27,0.08,0.35,0.17,0.25,Matches
300,James Maddison,eng ENG,"MF,FW",Leicester City,24,1996,35,28,"2,459",27.3,12,8,20,12,0,0,3,0,7.5,7.5,5.1,12.7,53,136,141,0.44,0.29,0.73,0.44,0.73,0.28,0.19,0.46,0.28,0.46,Matches
301,Gabriel Magalhães,br BRA,DF,Arsenal,23,1997,35,35,"3,063",34,5,0,5,5,0,0,8,1,3.2,3.2,0.7,3.9,12,110,9,0.15,0,0.15,0.15,0.15,0.09,0.02,0.12,0.09,0.12,Matches
302,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,30,28,"2,515",27.9,1,0,1,1,0,0,9,1,1.9,1.9,0.1,2.1,22,115,5,0.04,0,0.04,0.04,0.04,0.07,0,0.07,0.07,0.07,Matches
303,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,"1,498",16.6,11,5,16,7,4,5,0,0,10.1,6.2,4.2,10.4,74,70,234,0.66,0.3,0.96,0.42,0.72,0.61,0.25,0.86,0.37,0.62,Matches
